studyid,pkgid,pubdate,title,authors,old_core,core_sig_2020prop,top10_2020prop,top10doi_2020prop,corearea
1,100,2019,"High resolution shrub cover raster maps of the Jornada Basin LTER, including JER and CDRRC (2011)","Ji, Wenjie; Hanan, Niall P.; ",,signature,,,Inorganic matter cycling
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437064,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-BASN site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437065,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-IBPE site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437066,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-SUMM site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437067,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-NORT site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437068,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-RABB site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437069,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-WELL site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437070,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-COLL site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437071,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-SMAL site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437072,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-TOBO site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437073,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-EAST site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437074,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-TAYL site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437075,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-WEST site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437076,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-CALI site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437077,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-GRAV site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437078,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-SAND site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437079,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-BASN site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437080,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-IBPE site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437081,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-SUMM site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437082,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-NORT site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437083,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-RABB site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437084,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-WELL site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437085,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-COLL site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437086,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-SMAL site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437087,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-TOBO site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437088,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-EAST site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437089,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-TAYL site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437090,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-WEST site: 30-minute soil volumetric
         water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437091,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-CALI site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437092,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-GRAV site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437093,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-SAND site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437094,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-BASN site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437095,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-IBPE site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437096,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-SUMM site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437097,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-NORT site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437098,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-RABB site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437099,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-WELL site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437100,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-COLL site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437101,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-SMAL site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437102,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-TOBO site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437103,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-EAST site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437104,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-TAYL site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437105,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-WEST site: Daily average soil
         volumetric water content data:  2013 - ongoing","Duniway, Michael; ",,core,,,Disturbance
437,210437106,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-IBPE site: 15-minute summary data:
         2016 - ongoing","Anderson, John; ",,core,,,Disturbance
461,210461001,2019,"Perennial grass recovery following livestock overgazing and shrub removal: an experiment at the Jornada Experimental Range (Jornada Basin LTER), 1996-2016","Havstad, Kris; Bestelmeyer, Brandon; ",core,core,,,Disturbance
472,210472001,2018,"Vegetation cover and Soil Organic Carbon along gradients of cattle grazing intensity in the Jornada Basin, July-August 2016","Boydston, Aaron; ",,,,,Land Use and Land Cover Change
520,210520001,2018,"Vascular Plant Species of the Jornada Basin, 1982-2018","Anderson, John; Van Zee, Justin; ",,core,,,Populations
